temperature,humidity,rainfall,soil_pH,disease_risk
20.87974371,82.00274423,202.9355362,6.502985292,High
21.77046169,80.31964408,226.6555374,7.038096361,High
23.00445915,82.3207629,263.9642476,7.840207144,High
26.49109635,80.15836264,242.8640342,6.980400905,High
20.13017482,81.60487287,262.7173405,7.628472891,High
23.05804872,83.37011772,251.0549998,7.073453503,High
22.70883798,82.63941394,271.3248604,5.70080568,High
20.27774362,82.89408619,241.9741949,5.718627178,High
24.51588066,83.5352163,230.4462359,6.685346424,High
23.22397386,83.03322691,221.2091958,6.336253525,High
26.52723513,81.41753846,264.6148697,5.386167788,High
23.97898217,81.45061596,250.0832336,7.50283396,High
26.80079604,80.88684822,284.4364567,5.108681786,High
24.01497622,82.05687182,185.2773389,6.98435366,High
25.66585205,80.66385045,209.5869708,6.94801983,High
24.28209415,80.30025587,231.0863347,7.042299069,High
21.58711777,82.7883708,276.6552459,6.249050656,High
23.79391957,80.41817957,206.2611855,6.970859754,High
21.8652524,80.1923008,224.5550169,5.953933276,High
23.57943626,83.58760316,291.2986618,5.85393208,High
21.32504158,80.47476396,185.4974732,6.442475375,High
25.15745531,83.11713476,231.3843163,5.070175667,High
21.94766735,80.97384195,213.3560921,6.012632591,High
21.0525355,82.67839517,233.1075816,6.254028451,High
23.48381344,81.33265073,224.0581164,7.375482851,High
25.0756354,80.52389148,257.0038865,7.778915154,High
26.35927159,84.04403589,271.3586137,6.286500176,High
24.52922681,80.54498576,260.2634026,7.070959995,High
20.77576147,84.49774397,240.0810647,6.244841491,High
22.30157427,80.64416466,197.9791215,6.043304899,High
21.44653958,84.94375962,272.2017204,5.824709117,High
22.17931888,80.33127223,200.0882787,6.357389366,High
24.52783742,82.73685569,224.6757231,6.364134968,High
20.26707606,81.63895217,270.4417274,5.01450727,High
25.7354293,83.88266234,233.1321372,6.149410611,High
26.79533926,82.1480873,193.3473987,5.950660556,High
26.75754171,81.17734011,272.2999056,5.960370061,High
23.86330467,83.15250801,285.2493645,5.561398642,High
21.01944696,82.95221726,298.4018471,7.416245107,High
24.17298839,83.7287574,257.0343554,5.583370042,High
22.78133816,82.06719137,248.7183228,6.430010215,High
25.62980105,83.52842314,209.9001977,5.534878156,High
25.59704938,80.14509262,200.834898,6.903985986,High
23.83067496,84.81360127,298.5601175,6.271478838,High
26.31355498,82.36698992,265.5355937,7.224285503,High
24.8972823,80.52586088,183.6793207,6.13428721,High
24.958779,84.47963372,196.9560008,5.206373153,High
23.24113501,84.59201843,233.0453455,7.782051313,High
21.66628296,80.70960551,210.8142087,7.062779015,High
24.63544858,80.41363018,253.7202781,7.730367824,High
23.43121862,83.06310136,219.9048349,5.286203711,High
20.0454142,80.3477562,208.5810155,6.766240045,High
23.85724032,82.22572988,195.0948311,7.382762603,High
21.97199397,81.89918197,227.3637009,5.658169482,High
26.22916897,83.83625819,286.5083725,5.543360238,High
23.44676801,84.79352417,283.9338466,6.215109715,High
25.65553461,83.47021081,217.3788583,7.120272972,High
24.44345477,82.45432595,267.9761948,5.950647577,High
20.2801937,82.1235421,191.9535738,7.236705436,High
21.7238313,80.2389895,277.9626192,6.501697816,High
20.41447029,82.20802629,245.1511304,7.592490617,High
25.75528612,83.51827127,245.6626799,5.875345751,High
20.61521424,83.77345559,279.5451717,6.932400225,High
21.84106875,80.72886384,202.3838319,6.946209881,High
20.08369642,83.29114712,263.6372176,5.739175027,High
24.45802087,82.74835604,182.5616319,6.738652179,High
21.14347496,80.33502926,198.6730942,5.594819626,High
25.78720567,82.11124033,243.5120414,6.946636369,High
23.64124821,80.28597873,263.1103304,5.012139669,High
23.43191632,80.56887849,269.5039162,6.363472208,High
24.97669518,83.891805,204.8001847,6.880431223,High
22.72791041,82.1706881,260.8875056,7.300410836,High
24.87300744,82.84022551,295.6094492,6.587918708,High
21.32376327,83.00320459,192.3197536,7.283736617,High
26.29465461,84.56919326,257.4914906,7.023936392,High
