crop,rainfall,yield_category
jute,2051.4,High
maize,2051.4,Low
rice,2051.4,Medium
rice,2051.4,Medium
rice,2051.4,Medium
maize,1266.7,High
maize,1266.7,High
maize,1266.7,High
rice,1266.7,High
rice,1266.7,High
rice,1266.7,High
banana,3818.2,High
jute,3818.2,High
maize,3818.2,Medium
rice,3818.2,Medium
jute,1852.9,High
maize,1852.9,High
rice,1852.9,High
rice,1852.9,High
rice,1852.9,High
rice,1434.5875,High
rice,1434.5875,High
rice,1434.5875,High
banana,2354.4,High
jute,2354.4,High
maize,2354.4,Low
rice,2354.4,Medium
rice,2354.4,High
rice,2354.4,Medium
banana,2964.9,High
rice,2964.9,High
rice,2964.9,High
maize,1260.8,High
maize,1260.8,High
maize,1260.8,High
rice,1260.8,High
rice,1260.8,High
rice,1260.8,High
banana,3151.5,High
rice,3151.5,High
rice,3151.5,High
rice,3151.5,High
banana,6552.7,High
jute,6552.7,High
maize,6552.7,Medium
rice,6552.7,Medium
jute,2152.5,High
maize,2152.5,High
rice,2152.5,High
rice,2152.5,High
rice,2152.5,High
banana,2201.8,High
jute,2201.8,High
maize,2201.8,Low
rice,2201.8,Medium
rice,2201.8,High
rice,2201.8,Medium
banana,3879.3,High
rice,3879.3,High
rice,3879.3,High
banana,2914.6,High
rice,2914.6,High
rice,2914.6,High
rice,2914.6,High
banana,6200.3,High
jute,6200.3,High
maize,6200.3,Medium
rice,6200.3,Medium
rice,6200.3,High
banana,1434.5875,High
rice,1434.5875,High
jute,2318.1,High
maize,2318.1,High
rice,2318.1,High
rice,2318.1,High
rice,2318.1,High
banana,935.6,High
maize,935.6,High
maize,935.6,High
rice,935.6,High
rice,935.6,High
banana,1965.5,High
jute,1965.5,High
maize,1965.5,Low
rice,1965.5,Medium
rice,1965.5,High
rice,1965.5,Medium
banana,3886.9,High
rice,3886.9,High
rice,3886.9,High
banana,1213.3,High
maize,1213.3,High
maize,1213.3,High
maize,1213.3,High
rice,1213.3,High
rice,1213.3,High
rice,1213.3,High
banana,2412.6,High
rice,2412.6,High
rice,2412.6,High
rice,2412.6,High
banana,6258.8,High
jute,6258.8,High
maize,6258.8,Medium
rice,6258.8,High
rice,6258.8,High
banana,1434.5875,High
rice,1434.5875,High
jute,1907.7,High
maize,1907.7,High
rice,1907.7,Medium
rice,1907.7,High
rice,1907.7,High
banana,928.4,High
maize,928.4,High
maize,928.4,High
rice,928.4,High
rice,928.4,High
banana,1824.7,High
jute,1824.7,High
maize,1824.7,Low
rice,1824.7,Medium
rice,1824.7,High
rice,1824.7,Medium
banana,2530.6,High
rice,2530.6,High
rice,2530.6,High
maize,1002.9,High
maize,1002.9,High
maize,1002.9,High
rice,1002.9,High
rice,1002.9,High
rice,1002.9,High
banana,2946.7,High
rice,2946.7,High
rice,2946.7,High
rice,2946.7,High
jute,4241.0,High
maize,4241.0,Medium
rice,4241.0,High
banana,1434.5875,High
rice,1434.5875,High
jute,1556.6,High
maize,1556.6,High
