crop,rainfall,temperature,humidity,ph,N,P,K,yield_category
jute,2051.4,27.49080237694725,55.63507511101342,7.5849111868893715,88.62008764142166,53.48013024993498,73.15195747271794,Medium
maize,2051.4,39.01428612819832,47.360559964983125,5.223280946887592,5.082438751256674,45.90221391002312,43.88056585509319,Low
rice,2051.4,34.6398788362281,74.62567332904551,6.3552809942357245,112.73814446046676,8.84047618927468,10.620800952387262,Medium
rice,2051.4,31.973169683940732,42.98826191525971,5.9896790997103455,23.920417825173427,60.91273140145795,13.270754620742515,Low
rice,2051.4,23.12037280884873,81.17548787694099,6.065716485239106,31.861749935571307,42.89990250019102,33.763176836955424,Medium
maize,1266.7,23.119890406724053,57.46727373936142,8.440314078441453,35.29944625479254,53.578180609267235,75.5175644654667,Medium
maize,1266.7,21.161672243363988,40.00740811524669,7.249720947179748,9.349315703484061,42.697985373165146,56.968186367606066,Low
maize,1266.7,37.3235229154987,68.11210265804763,7.511866552277248,19.150994212887365,41.885849174184195,70.07141496418492,Low
rice,1266.7,32.022300234864176,42.57685496901817,8.418161730602533,118.43024113857864,17.88418321083251,32.484248475498475,Low
rice,1266.7,34.161451555920905,55.18932568014947,6.3202062386017355,41.249924798387894,25.90352863558617,8.241027466249875,Low
rice,1266.7,20.411689885916047,78.88370681006438,7.80644058958482,18.259625388990674,16.913951895796686,78.07382279033106,Medium
banana,3818.2,39.39819704323989,43.447929189202625,6.520858371565733,17.303995035081684,19.674972171900684,6.287974299677716,Low
jute,3818.2,36.648852816008436,86.16361707958012,8.043367851352428,87.73789628204676,77.97330353152287,76.07387398108168,Low
maize,3818.2,24.246782213565524,40.21009574622207,5.632301394589561,103.2753963637537,16.48350843291488,32.650806788685856,Low
rice,3818.2,23.636499344142013,53.57531280610462,8.316901619724979,34.54951444347404,25.195281822890575,5.756780376641114,Low
jute,1852.9,23.668090197068675,80.74972308836394,5.765700979438079,7.404593918552021,49.294224330393874,56.68679237933812,Medium
maize,1852.9,26.084844859190753,57.39485823511187,6.14177177443326,30.65535212121592,50.76339321774814,78.54052280235156,High
rice,1852.9,30.495128632644757,45.604081343630746,7.646672819373732,11.499304441627093,16.54805973078718,77.42192921281944,Low
rice,1852.9,28.638900372842315,59.81286553402353,6.378142995478924,16.890417712454774,64.52880693389093,17.07027584018138,Medium
rice,1852.9,25.824582803960837,54.871630751148906,7.128739818682563,54.62343378247887,63.890215093461876,18.593585454961623,Medium
rice,1434.5875,32.23705789444759,86.34915461883051,6.556007253742999,31.440612649087747,22.798827815291833,47.41541859647451,High
rice,1434.5875,22.789877213040835,57.234135467182874,7.598294779814236,64.33377603042369,26.649972700659532,52.79786198212433,Medium
rice,1434.5875,25.842892970704362,83.39128594768039,5.799159383290138,34.15178162457689,75.34908990946228,60.456343524939925,High
banana,2354.4,27.327236865873836,89.05296796459041,5.20460295532907,113.16178962683898,66.92535844846086,18.578777035411065,Low
jute,2354.4,29.12139968434072,63.85995807670912,6.049752891155732,109.18355631152042,57.334777479689286,76.92553150733258,High
maize,2354.4,35.70351922786027,90.04687291199156,6.6600803270395055,70.1827020762036,11.16749161329504,52.90544422169284,Medium
rice,2354.4,23.993475643167194,60.752492967975606,5.588070182674375,45.75875907854941,36.369806067693176,68.52851891529161,Medium
rice,2354.4,30.284688768272233,93.02431290695594,6.24179051379736,48.83189143399459,46.94764040576203,45.504928646312884,High
rice,2354.4,31.848291377240848,44.91092384890651,6.39994056402749,52.36301256161715,19.05584659878327,36.070763569241194,Low
banana,2964.9,20.929008254399953,77.78605965767835,5.200871452908958,88.67162204551856,38.61699365811684,78.28871799462469,Medium
rice,2964.9,32.150897038028766,67.15977222513108,7.0415753686447164,56.93848448466636,50.076940811651745,48.659102811487706,High
rice,2964.9,23.41048247374583,61.32068430006059,8.095201997899506,103.5239438481782,29.553251008654943,70.01551870993842,Medium
maize,1260.8,21.30103185970559,74.79915333117304,5.531100195335684,113.57090038199192,63.57086142128654,76.49692972747174,High
maize,1260.8,38.977710745066666,78.71214003988823,7.092328046905299,43.633807638577395,68.03371862291041,55.651597025649444,Medium
maize,1260.8,39.31264066149119,40.239979830767,7.326587217187962,69.47986535820321,29.270710207555307,46.17040088890062,Low
rice,1260.8,36.167946962329225,49.18241988109593,6.467671381467509,15.93150173574491,67.8992865869343,5.263313818298797,Low
rice,1260.8,26.092275383467413,79.21753278488754,7.453841555774945,28.053940493131282,12.768242457726126,8.00147305542545,Medium
rice,1260.8,21.95344228012768,76.65119774680136,6.437560402218542,52.54856317166841,67.82968239669923,20.063841203833725,High
banana,3151.5,33.684660530243136,93.13261278207725,6.766230507921022,28.713312328704568,16.456282375071247,18.950632389199644,Medium
rice,3151.5,28.803049874792027,81.85707846379307,5.025735655940494,105.80445644070252,11.219536438229454,24.1069096399884,Low
rice,3151.5,22.440764696895577,92.29249892522358,7.421020399471411,23.20291944679628,53.13315533307584,27.87009782732456,High
rice,3151.5,29.903538202225405,78.63972758441437,7.314699376306535,57.400994478605575,40.395302431647075,32.004912016304615,High
banana,6552.7,20.687770422304368,56.39287147516937,5.134403070642206,74.6554126528857,73.09179503096246,36.54032675516574,Medium
jute,6552.7,38.186408041575646,45.7950707237971,6.288875375882966,84.5643494384971,32.23918970681369,12.4149753842011,Low
maize,6552.7,25.17559963200034,83.00031248397146,8.426611442770836,49.052977518548275,26.536419757822152,8.177144896458653,Low
rice,6552.7,33.25044568707964,75.42820718117537,6.472577968990159,104.94639290334378,42.555117960814876,55.545833680476754,Medium
jute,2152.5,26.23422152178822,42.65023068163129,6.756808917961446,70.35670237396144,39.1959639326496,45.300111863230825,Medium
maize,2152.5,30.401360423556216,59.80277562455381,8.184755553559015,55.543394751468455,30.83210346628912,38.310815166508974,Medium
rice,2152.5,30.934205586865595,92.62398985163574,7.510416565530147,12.73267291598421,57.030597402374646,52.58299558762643,Medium
rice,2152.5,23.69708911051054,67.52206301406108,7.037245458934782,58.43928887119397,61.967137543543124,67.07595554026554,High
rice,2152.5,39.39169255529117,63.800102481083755,7.792316384693754,99.38462169380898,68.97379767726025,37.076968183715344,Medium
banana,2201.8,35.502656467222295,65.17347828376117,8.025281932595906,75.67221709545127,77.96424535327571,53.083959878898455,Medium
jute,2201.8,38.78997883128378,51.48854982028401,6.599108251080434,100.69868217884861,24.999214409937835,76.5179167876369,Medium
maize,2201.8,37.89654700855297,60.27889439756373,6.662879277261424,61.811342118920145,58.70701118674712,67.97183718961705,Medium
rice,2201.8,31.957999576221702,60.33972907929471,6.351178274781425,18.623096085865413,34.569367662180895,36.95006078768071,Medium
rice,2201.8,38.437484700462335,42.879526110310984,8.383471490064611,6.568582271126323,55.78114789633311,53.35376283610572,Low
rice,2201.8,21.76985004103839,82.21621956848551,7.440081890016226,39.87024787263799,40.698626776191524,18.280319143695483,Medium
banana,3879.3,23.919657248382904,62.907743754713344,5.291280731728253,85.26890422224614,79.53298270759487,47.03916386713174,Medium
rice,3879.3,20.90454577821076,85.21989377490328,8.020358681595564,95.87988895329478,59.66766018430624,78.5996218353832,Medium
rice,3879.3,26.506606615265287,86.76914006159424,6.681959792926938,39.011575981337884,76.43684753257433,43.87363364018917,High
banana,2914.6,27.77354579378964,51.659673008426196,5.240638672478706,62.000200901573415,67.62271621108893,74.57287243926105,Medium
rice,2914.6,25.426980635477918,76.15444151935708,6.924010393071589,53.42867400991938,72.71757583725282,35.55011903774455,High
rice,2914.6,36.57475018303859,65.975499228964,6.460074976414957,52.2101202004142,66.08143979110062,79.91336203884734,Medium
rice,2914.6,27.135066533871786,88.40862058568169,8.072122917019186,31.605102018017305,39.436934778193354,48.44150264206684,Medium
banana,6200.3,25.618690193747614,51.865737354704976,5.7139811126328555,20.682677078387712,23.884134001016328,8.170174567695092,Low
jute,6200.3,30.853921663164968,77.27972601705244,7.89262613322264,27.619184196589508,32.77401315878917,49.00660975185411,High
maize,6200.3,22.818484499495252,73.42636672389975,6.951910419149085,11.363224523784801,6.517717447996283,25.59295217596975,Medium
rice,6200.3,36.043939615080795,56.24158126645081,5.191136061247142,27.78503530971136,44.299487559850036,7.436099152692103,Low
rice,6200.3,21.491012873595416,47.51304970081449,8.401458554639197,6.058103226918638,42.87933502028065,66.56399785209976,Low
banana,1434.5875,39.73773873201034,75.8401868262502,6.7941533543612,77.1347160731375,44.393784862286616,25.679722773556694,Medium
rice,1434.5875,35.44489538593315,80.62286019727819,6.018068989810539,41.38317184958353,78.05234187290479,64.74114155348738,High
jute,2318.1,23.974313630683447,57.35950390698425,6.642923946962403,116.9116418140945,73.35905025911295,26.61631872169002,High
maize,2318.1,20.110442342472048,75.46579322122726,8.00250224231121,27.277460839274255,17.1284583747581,19.57447654053307,Low
rice,2318.1,36.30922856909668,61.73219991863268,6.067160935347722,44.7702855856033,32.66618911669169,78.04516805783206,Medium
rice,2318.1,34.13714687695234,79.22637858054398,5.674367387703451,46.15173324377632,36.796713459744645,32.12339958162647,Medium
